timestamp,task,model,input_tokens,output_tokens,total_tokens,estimated_cost_usd
2025-12-23 14:02:46,Triage,gpt-4o,618,76,694,0.002305
2025-12-23 14:02:49,Extract_Pg1,gpt-4o-mini,864,7,871,0.000134
2025-12-23 14:03:04,Extract_Pg2,gpt-4o-mini,1638,576,2214,0.000591
2025-12-23 14:03:07,Extract_Pg4,gpt-4o-mini,1554,727,2281,0.000669
2025-12-23 14:03:09,Extract_Pg5,gpt-4o-mini,1580,833,2413,0.000737
2025-12-23 14:03:13,Extract_Pg3,gpt-4o-mini,1849,999,2848,0.000877
2025-12-23 14:03:23,Extract_Pg6,gpt-4o-mini,1568,856,2424,0.000749
2025-12-23 14:03:29,Extract_Pg7,gpt-4o-mini,1562,910,2472,0.00078
2025-12-23 14:03:34,Extract_Pg8,gpt-4o-mini,1540,851,2391,0.000742
2025-12-23 14:03:37,Extract_Pg9,gpt-4o-mini,1505,871,2376,0.000748
2025-12-23 14:03:44,Extract_Pg13,gpt-4o-mini,2406,250,2656,0.000511
2025-12-23 14:03:46,Extract_Pg10,gpt-4o-mini,1545,768,2313,0.000693
2025-12-23 14:03:53,Extract_Pg11,gpt-4o-mini,1450,833,2283,0.000717
2025-12-23 14:03:56,Extract_Pg12,gpt-4o-mini,1614,802,2416,0.000723
2025-12-23 14:03:57,Filter_Tag,gpt-4o-mini,4917,28,4945,0.000754
2025-12-23 14:04:03,Summarize,gpt-4o,1987,231,2218,0.007277
2025-12-23 14:07:04,Triage,gpt-4o,906,95,1001,0.003215
2025-12-23 14:07:16,Extract_Pg1,gpt-4o-mini,1169,390,1559,0.000409
2025-12-23 14:07:19,Extract_Pg2,gpt-4o-mini,1301,477,1778,0.000481
2025-12-23 14:07:19,Extract_Pg4,gpt-4o-mini,1318,483,1801,0.000487
2025-12-23 14:07:19,Extract_Pg7,gpt-4o-mini,840,7,847,0.00013
2025-12-23 14:07:20,Extract_Pg3,gpt-4o-mini,1350,501,1851,0.000503
2025-12-23 14:07:26,Extract_Pg6,gpt-4o-mini,1333,218,1551,0.000331
2025-12-23 14:07:28,Extract_Pg5,gpt-4o-mini,1261,497,1758,0.000487
2025-12-23 14:07:29,Filter_Tag,gpt-4o-mini,1925,28,1953,0.000306
2025-12-23 14:07:34,Summarize,gpt-4o,1936,276,2212,0.0076
2025-12-23 14:11:53,Triage,gpt-4o,710,93,803,0.002705
2025-12-23 14:11:54,Extract_Pg4,gpt-4o-mini,1102,7,1109,0.000169
2025-12-23 14:11:56,Extract_Pg1,gpt-4o-mini,907,81,988,0.000185
2025-12-23 14:11:58,Extract_Pg3,gpt-4o-mini,1278,217,1495,0.000322
2025-12-23 14:12:00,Extract_Pg2,gpt-4o-mini,1203,315,1518,0.000369
2025-12-23 14:12:01,Filter_Tag,gpt-4o-mini,1010,28,1038,0.000168
2025-12-23 14:12:06,Summarize,gpt-4o,1038,195,1233,0.004545
2025-12-23 14:17:04,Triage,gpt-4o,1653,88,1741,0.005012
2025-12-23 14:17:27,Extract_Pg2,gpt-4o-mini,1915,961,2876,0.000864
2025-12-23 14:17:33,Extract_Pg1,gpt-4o-mini,1907,1566,3473,0.001226
2025-12-23 14:17:34,Filter_Tag,gpt-4o-mini,2522,46,2568,0.000406
2025-12-23 14:17:38,Summarize,gpt-4o,1084,201,1285,0.00472
2025-12-23 14:18:16,Triage,gpt-4o,1627,86,1713,0.004927
2025-12-23 14:18:28,Extract_Pg1,gpt-4o-mini,1889,661,2550,0.00068
2025-12-23 14:18:30,Extract_Pg2,gpt-4o-mini,1861,711,2572,0.000706
2025-12-23 14:18:31,Filter_Tag,gpt-4o-mini,1690,28,1718,0.00027
2025-12-23 14:18:39,Summarize,gpt-4o,1412,372,1784,0.00725
2025-12-23 14:21:10,Triage,gpt-4o,802,102,904,0.003025
2025-12-23 14:21:12,Extract_Pg1,gpt-4o-mini,1028,83,1111,0.000204
2025-12-23 14:21:16,Extract_Pg2,gpt-4o-mini,1383,182,1565,0.000317
2025-12-23 14:21:18,Extract_Pg4,gpt-4o-mini,1414,292,1706,0.000387
2025-12-23 14:21:20,Extract_Pg5,gpt-4o-mini,1372,411,1783,0.000452
2025-12-23 14:21:20,Extract_Pg8,gpt-4o-mini,1213,7,1220,0.000186
2025-12-23 14:21:21,Extract_Pg6,gpt-4o-mini,1395,281,1676,0.000378
2025-12-23 14:21:24,Extract_Pg3,gpt-4o-mini,1402,665,2067,0.000609
2025-12-23 14:21:24,Extract_Pg7,gpt-4o-mini,1516,361,1877,0.000444
2025-12-23 14:21:25,Filter_Tag,gpt-4o-mini,2141,50,2191,0.000351
2025-12-23 14:21:29,Summarize,gpt-4o,2052,185,2237,0.00698
2025-12-23 15:13:57,Triage_Strategy,gpt-4o,820,148,968,0.00353
2025-12-23 15:14:02,Extract_Pg1,gpt-4o-mini,903,198,1101,0.000254
2025-12-23 15:14:15,Extract_Pg3,gpt-4o-mini,1295,812,2107,0.000681
2025-12-23 15:14:15,Extract_Pg2,gpt-4o-mini,1276,822,2098,0.000685
2025-12-23 15:14:15,Extract_Pg5,gpt-4o-mini,1404,531,1935,0.000529
2025-12-23 15:14:18,Extract_Pg6,gpt-4o-mini,1119,98,1217,0.000227
2025-12-23 15:14:18,Extract_Pg4,gpt-4o-mini,1294,966,2260,0.000774
2025-12-23 15:14:20,Filter_Tag,gpt-4o-mini,2551,54,2605,0.000415
2025-12-23 15:14:27,Summarize,gpt-4o,3725,427,4152,0.013583
2025-12-23 15:25:38,Triage_Strategy,gpt-4o,543,132,675,0.002678
2025-12-23 15:25:43,Extract_Pg1,gpt-4o-mini,702,205,907,0.000228
2025-12-23 15:25:59,Extract_Pg5,gpt-4o-mini,1147,699,1846,0.000591
2025-12-23 15:26:02,Extract_Pg2,gpt-4o-mini,1078,890,1968,0.000696
2025-12-23 15:26:05,Extract_Pg3,gpt-4o-mini,1123,1094,2217,0.000825
2025-12-23 15:26:05,Extract_Pg4,gpt-4o-mini,1113,1100,2213,0.000827
2025-12-23 15:26:07,Filter_Tag,gpt-4o-mini,2088,59,2147,0.000349
2025-12-23 15:26:12,Summarize,gpt-4o,3157,262,3419,0.010513
2025-12-23 15:26:31,Triage_Strategy,gpt-4o,704,156,860,0.00332
